REIT名,証券コード,物件名,所在地,用途,取得予定日,取得価格_億円,緯度,経度,出典,属性
星野リゾート・リート投資法人,3287,星のや軽井沢,星のや,ホテル(星のや),既存保有,76,36.3582581,138.5909137,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,星のや京都,星のや,ホテル(星のや),既存保有,28.78,35.0113079,135.6769726,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,星のや富士,星のや,ホテル(星のや),既存保有,41.6,35.5253284,138.7450933,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,星のや竹富島,星のや,ホテル(星のや),既存保有,49.55,24.3231267,124.0959491,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,星のや沖縄,星のや,ホテル(星のや),既存保有,122.1,26.4203689,127.7148038,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,リゾナーレ八ヶ岳,リゾナーレ,ホテル(リゾナーレ),既存保有,45,35.869311,138.3272039,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,リゾナーレ熱海,リゾナーレ,ホテル(リゾナーレ),既存保有,37.5,35.0911443,139.0627164,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 松本,界,ホテル(界),既存保有,6.15,36.2616955,137.9884212,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 玉造,界,ホテル(界),既存保有,6.8,35.4187346,133.0086212,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 伊東,界,ホテル(界),既存保有,6.7,34.9685848,139.0914617,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 箱根,界,ホテル(界),既存保有,9.5,35.2235001,139.0840236,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 鬼怒川,界,ホテル(界),既存保有,30.8,36.8279737,139.7158787,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 加賀,界,ホテル(界),既存保有,31.6,36.288753,136.360931,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 アルプス,界,ホテル(界),既存保有,30.6,36.5315787,137.8076632,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 遠州,界,ホテル(界),既存保有,10.5,34.7621423,137.620581,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 長門,界,ホテル(界),既存保有,27.5,34.3277233,131.1731702,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 霧島,界,ホテル(界),既存保有,39.13,31.7333,130.7667,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,界 別府,界,ホテル(界),既存保有,73.35,33.279398,131.5076065,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,界 ポロト,界,ホテル(界),既存保有,30.6,42.5601463,141.3618455,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,西表島ホテル,星野リゾートその他,ホテル(星野リゾートその他),既存保有,36.5,24.4214657,123.7749705,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,OMO7高知,星野リゾートその他,ホテル(星野リゾートその他),既存保有,22,33.5574461,133.5493215,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,BEB5軽井沢,星野リゾートその他,ホテル(星野リゾートその他),既存保有,21.7,36.3561325,138.588623,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,OMO7大阪,星野リゾートその他,ホテル(星野リゾートその他),既存保有,290,34.6508135,135.5018895,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,ANAクラウンプラザホテル広島,都市観光,ホテル(都市観光),既存保有,177.84,34.3904452,132.4569381,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,ANAクラウンプラザホテル金沢,都市観光,ホテル(都市観光),既存保有,66.09,36.5768045,136.6486923,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,ANAクラウンプラザホテル富山,都市観光,ホテル(都市観光),既存保有,40.08,36.6917494,137.2118118,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,グランドプリンスホテル大阪ベイ,都市観光,ホテル(都市観光),既存保有,160,34.6362593,135.4162765,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,the b 赤坂,都市観光,ホテル(都市観光),既存保有,48.6,35.6714763,139.7330338,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,the b 三軒茶屋,都市観光,ホテル(都市観光),既存保有,44.2,35.6438,139.6706,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,the b 名古屋,都市観光,ホテル(都市観光),既存保有,45,35.166745,136.9097226,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,the b 神戸,都市観光,ホテル(都市観光),既存保有,70.2,34.6933125,135.1903053,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,クインテッサホテル大阪心斎橋,都市観光,ホテル(都市観光),既存保有,33.39,34.6740397,135.5044723,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,ホテル･アンドルームス大阪本町,都市観光,ホテル(都市観光),既存保有,42.38,34.6864135,135.4973879,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,ソルヴィータホテル那覇,都市観光,ホテル(都市観光),既存保有,38.6,26.2196622,127.6793503,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,グランドハイアット福岡,都市観光,ホテル(都市観光),既存保有,77,33.589743,130.4105681,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,the b 浅草,都市観光,ホテル(都市観光),既存保有,56.3,35.7146258,139.7922602,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,ホテルビスタ松山,都市観光,ホテル(都市観光),既存保有,19.04,33.8413671,132.7691201,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 塩尻北インター,その他,ホテル(その他),既存保有,6.72,36.1675272,137.9539334,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 佐野藤岡インター,その他,ホテル(その他),既存保有,7.42,36.2965591,139.5998344,公式ポートフォリオ一覧2026/6/15時点(施設名で個別検索(建物レベル)),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 諏訪インター,その他,ホテル(その他),既存保有,6.58,36.0405,138.1128,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
星野リゾート・リート投資法人,3287,コンフォートイン 豊川インター,その他,ホテル(その他),既存保有,6.02,34.8266,137.3917,公式ポートフォリオ一覧2026/6/15時点(都市名からの近似座標),ホテル
